20,20,3,3,5,5,5,5,5,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,5,25,25,25,25,5,5
20,20,20,3,3,5,5,5,5,5,25,25,25,25,25,25,25,25,25,25,25,25,25,25,5,25,25,25,25,5,5,5
3,20,20,20,3,3,5,5,5,5,5,25,25,25,25,25,25,25,25,25,25,25,25,5,25,25,25,25,25,5,5,5
3,3,3,20,20,3,3,3,5,5,5,5,5,25,25,25,25,25,25,25,25,25,5,25,25,25,25,25,5,5,5,25
5,5,3,20,20,20,20,3,3,5,5,5,5,5,25,25,25,25,25,25,25,5,25,25,25,25,25,5,5,5,25,25
5,5,3,3,3,20,20,20,3,3,5,5,5,5,5,25,25,25,25,25,5,25,25,25,25,25,5,5,5,25,25,25
5,5,5,5,3,3,3,20,20,3,3,5,5,5,5,5,25,25,25,5,5,5,25,25,25,5,5,25,25,25,25,25
5,5,5,5,5,5,3,3,20,20,3,3,5,3,5,5,5,5,5,5,5,5,5,25,5,5,25,25,25,25,25,25
5,5,5,5,5,5,5,3,3,20,20,3,3,3,3,3,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5
3,3,5,5,5,5,5,5,3,3,20,20,3,3,3,3,3,5,5,5,6,2,6,6,6,6,6,6,6,6,6,6
3,3,3,3,5,5,5,5,5,3,20,20,3,3,3,3,3,3,6,6,6,6,2,6,6,6,6,6,6,6,6,6
1,1,1,3,3,3,5,5,5,3,20,20,3,3,3,3,3,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6
6,6,6,1,3,3,3,3,5,3,3,20,20,3,3,3,3,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6
6,6,6,6,1,3,3,3,3,3,3,3,20,20,3,3,3,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6
6,6,6,6,6,1,1,1,1,1,3,3,3,20,20,3,3,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,2,6,3,3,1,3,3,3,20,20,3,3,6,6,6,6,2,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,2,6,6,6,3,1,3,3,3,20,20,3,3,3,3,6,2,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,2,6,6,6,6,3,1,3,3,3,20,20,20,3,3,3,2,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,2,6,6,6,6,3,3,1,3,3,3,20,20,20,3,3,2,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,2,6,6,6,6,6,3,3,1,3,3,3,3,20,20,3,2,3,6,6,6,6,6,6,6,6
6,6,6,6,6,6,2,6,6,6,6,6,6,6,3,1,3,3,3,20,20,3,2,3,6,6,6,6,6,6,6,6
6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,3,6,6,6,6,6,6,6,6
6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,3,3,3,20,20,3,3,1,6,6,6,6,6,6,6,6
6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,3,3,20,20,20,3,3,1,6,6,6,6,6,6,6
6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,3,3,20,20,3,3,3,1,1,1,1,1,1,1
6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,3,3,20,20,3,3,3,3,3,3,3,3,3
6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,20,20,7,7,7,7,7,7,7,3,3
6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,20,20,7,7,20,20,7,7,7,7
6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,7,7,20,20,20,20,20,20,20,7,7
6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,20,20,20,20,20,20,20,20,20,20
6,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,20,20,20,20,20,20,20,20,20,20
2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,20,20,20,20,20,20,20,20,20,20,20
